Cell,Type,Value
E18_2_C74,Stromal.cell.Adult.Adipose1.,0.000883071531308008
E18_2_C74,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,-0.000292432881388675
E18_2_C74,Endothelial.progenitor.cell.Adult.Ileum2.,-0.00121051946635388
E18_2_C74,Adipocyte_SPP1.high.Adult.Adipose1.,-0.00122531084534185
E18_2_C74,Macrophage.Adult.Temporal.Lobe1..1,-0.00196613863176843
E18_2_C74,M2.Macrophage.Adult.Adipose1.,-0.00196792351026749
E18_2_C74,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00284257673427422
E18_2_C74,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00315824723491577
E18_2_C74,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00320102481737771
E18_2_C55,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0515658682577842
E18_2_C55,Stellate.cell.Liver_Camp.,0.0470981163839631
E18_2_C55,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0407221407825601
E18_2_C55,Stromal.cell.Adult.Adipose1.,0.0012545852326088
E18_2_C55,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,5.59055920947905e-05
E18_2_C55,Endothelial.progenitor.cell.Adult.Ileum2.,-0.000977543637871096
E18_2_C55,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000989488277199022
E18_2_C55,M2.Macrophage.Adult.Adipose1.,-0.00148678444287902
E18_2_C55,Macrophage.Adult.Temporal.Lobe1..1,-0.00153967485083874
E18_2_C55,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_2_C55,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_2_C55,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_2_C69,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0515658682577842
E18_2_C69,Stellate.cell.Liver_Camp.,0.0470981163839631
E18_2_C69,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0407221407825601
E18_2_C69,Stromal.cell.Adult.Adipose1.,0.0012545852326088
E18_2_C69,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,5.59055920947904e-05
E18_2_C69,Endothelial.progenitor.cell.Adult.Ileum2.,-0.000977543637871096
E18_2_C69,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000989488277199022
E18_2_C69,M2.Macrophage.Adult.Adipose1.,-0.00148678444287902
E18_2_C69,Macrophage.Adult.Temporal.Lobe1..1,-0.00153967485083874
E18_2_C69,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_2_C69,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_2_C69,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_3_C28,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0515658682577842
E18_3_C28,Stellate.cell.Liver_Camp.,0.0470981163839631
E18_3_C28,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0407221407825601
E18_3_C28,Stromal.cell.Adult.Adipose1.,0.0012545852326088
E18_3_C28,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,5.59055920947904e-05
E18_3_C28,Endothelial.progenitor.cell.Adult.Ileum2.,-0.000977543637871096
E18_3_C28,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000989488277199022
E18_3_C28,M2.Macrophage.Adult.Adipose1.,-0.00148678444287902
E18_3_C28,Macrophage.Adult.Temporal.Lobe1..1,-0.00153967485083874
E18_3_C28,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_3_C28,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_3_C28,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_2_C22,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0515658682577842
E18_2_C22,Stellate.cell.Liver_Camp.,0.0470981163839631
E18_2_C22,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0407221407825601
E18_2_C22,Stromal.cell.Adult.Adipose1.,0.0012545852326088
E18_2_C22,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,5.59055920947904e-05
E18_2_C22,Endothelial.progenitor.cell.Adult.Ileum2.,-0.000977543637871096
E18_2_C22,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000989488277199022
E18_2_C22,M2.Macrophage.Adult.Adipose1.,-0.00148678444287902
E18_2_C22,Macrophage.Adult.Temporal.Lobe1..1,-0.00153967485083874
E18_2_C22,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_2_C22,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_2_C22,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_2_C44,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0515658682577842
E18_2_C44,Stellate.cell.Liver_Camp.,0.0470981163839631
E18_2_C44,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0407221407825601
E18_2_C44,Stromal.cell.Adult.Adipose1.,0.0012545852326088
E18_2_C44,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,5.59055920947905e-05
E18_2_C44,Endothelial.progenitor.cell.Adult.Ileum2.,-0.000977543637871096
E18_2_C44,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000989488277199022
E18_2_C44,M2.Macrophage.Adult.Adipose1.,-0.00148678444287902
E18_2_C44,Macrophage.Adult.Temporal.Lobe1..1,-0.00153967485083874
E18_2_C44,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_2_C44,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_2_C44,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_2_C49,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0515658682577842
E18_2_C49,Stellate.cell.Liver_Camp.,0.0470981163839631
E18_2_C49,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0407221407825601
E18_2_C49,Stromal.cell.Adult.Adipose1.,0.0012545852326088
E18_2_C49,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,5.59055920947904e-05
E18_2_C49,Endothelial.progenitor.cell.Adult.Ileum2.,-0.000977543637871096
E18_2_C49,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000989488277199022
E18_2_C49,M2.Macrophage.Adult.Adipose1.,-0.00148678444287902
E18_2_C49,Macrophage.Adult.Temporal.Lobe1..1,-0.00153967485083874
E18_2_C49,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_2_C49,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_2_C49,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_1_C09,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0515658682577842
E18_1_C09,Stellate.cell.Liver_Camp.,0.0470981163839631
E18_1_C09,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0407221407825601
E18_1_C09,Stromal.cell.Adult.Adipose1.,0.0012545852326088
E18_1_C09,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,5.59055920947904e-05
E18_1_C09,Endothelial.progenitor.cell.Adult.Ileum2.,-0.000977543637871096
E18_1_C09,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000989488277199022
E18_1_C09,M2.Macrophage.Adult.Adipose1.,-0.00148678444287902
E18_1_C09,Macrophage.Adult.Temporal.Lobe1..1,-0.00153967485083874
E18_1_C09,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_1_C09,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_1_C09,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_1_C84,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0515658682577842
E18_1_C84,Stellate.cell.Liver_Camp.,0.0470981163839631
E18_1_C84,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0407221407825601
E18_1_C84,Stromal.cell.Adult.Adipose1.,0.0012545852326088
E18_1_C84,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,5.59055920947904e-05
E18_1_C84,Endothelial.progenitor.cell.Adult.Ileum2.,-0.000977543637871096
E18_1_C84,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000989488277199022
E18_1_C84,M2.Macrophage.Adult.Adipose1.,-0.00148678444287902
E18_1_C84,Macrophage.Adult.Temporal.Lobe1..1,-0.00153967485083874
E18_1_C84,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_1_C84,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_1_C84,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_2_C65,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0515658682577842
E18_2_C65,Stellate.cell.Liver_Camp.,0.0470981163839631
E18_2_C65,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0407221407825601
E18_2_C65,Stromal.cell.Adult.Adipose1.,0.0012545852326088
E18_2_C65,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,5.59055920947904e-05
E18_2_C65,Endothelial.progenitor.cell.Adult.Ileum2.,-0.000977543637871096
E18_2_C65,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000989488277199022
E18_2_C65,M2.Macrophage.Adult.Adipose1.,-0.00148678444287902
E18_2_C65,Macrophage.Adult.Temporal.Lobe1..1,-0.00153967485083874
E18_2_C65,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_2_C65,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_2_C65,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_2_C43,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0515658682577842
E18_2_C43,Stellate.cell.Liver_Camp.,0.0470981163839631
E18_2_C43,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0407221407825601
E18_2_C43,Stromal.cell.Adult.Adipose1.,0.0012545852326088
E18_2_C43,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,5.59055920947904e-05
E18_2_C43,Endothelial.progenitor.cell.Adult.Ileum2.,-0.000977543637871096
E18_2_C43,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000989488277199022
E18_2_C43,M2.Macrophage.Adult.Adipose1.,-0.00148678444287902
E18_2_C43,Macrophage.Adult.Temporal.Lobe1..1,-0.00153967485083874
E18_2_C43,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_2_C43,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_2_C43,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_3_C09,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0515658682577842
E18_3_C09,Stellate.cell.Liver_Camp.,0.0470981163839631
E18_3_C09,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0407221407825601
E18_3_C09,Stromal.cell.Adult.Adipose1.,0.0012545852326088
E18_3_C09,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,5.59055920947904e-05
E18_3_C09,Endothelial.progenitor.cell.Adult.Ileum2.,-0.000977543637871096
E18_3_C09,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000989488277199022
E18_3_C09,M2.Macrophage.Adult.Adipose1.,-0.00148678444287902
E18_3_C09,Macrophage.Adult.Temporal.Lobe1..1,-0.00153967485083874
E18_3_C09,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_3_C09,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_3_C09,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_2_C59,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0515658682577842
E18_2_C59,Stellate.cell.Liver_Camp.,0.0470981163839631
E18_2_C59,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0407221407825601
E18_2_C59,Stromal.cell.Adult.Adipose1.,0.0012545852326088
E18_2_C59,Epithelial.cell_PLA2G2A.high.Adult.Lung2.,5.59055920947904e-05
E18_2_C59,Endothelial.progenitor.cell.Adult.Ileum2.,-0.000977543637871096
E18_2_C59,Adipocyte_SPP1.high.Adult.Adipose1.,-0.000989488277199022
E18_2_C59,M2.Macrophage.Adult.Adipose1.,-0.00148678444287902
E18_2_C59,Macrophage.Adult.Temporal.Lobe1..1,-0.00153967485083874
E18_2_C59,Endothelial.cell_CCL2.high.Fetal.Adrenal.Gland4.,-0.00229549617249842
E18_2_C59,Endothelial.cell_GJA5.high.Fetal.Kidney3.,-0.00255041292364757
E18_2_C59,Endothelial.cell_STC1.high.Fetal.Adrenal.Gland2.,-0.00258495755902227
E18_2_C73,Basal.cell_KRT6A.high.Adult.Trachea2.,0.0515658682577842
E18_2_C73,Stellate.cell.Liver_Camp.,0.0470981163839631
E18_2_C73,Stromal.cell_COL3A1.high.Adult.Bladder2.,0.0407221407825601
