Cell,Type,Value
E18_2_C61,Alveolar bipotent progenitor(Lung),0.287979990627293
E18_2_C61,AT2 Cell(Lung),0.277650829643529
E18_2_C61,Ciliated cell(Lung),0.238093177894901
E18_2_C61,Epithelial Cells(Lung-Mesenchyme),0.237463888612697
E18_2_C61,Clara Cell(Lung),0.234189023039599
E18_2_C61,Stromal cell_Inmt high(Lung),0.211651171552879
E18_2_C61,Dividing cells(Lung),0.203952164962784
E18_2_C61,Stromal cell_Aspn high(Lung-Mesenchyme),0.174518279575077
E18_2_C61,Stromal cell_Inmt high(Lung-Mesenchyme),0.171540441459987
E18_2_C61,Epithelial cell_Sftpc high(Fetal_Lung),0.169306544488928
E18_2_C61,Ependymocytes(Arc-Me),0.136159688301574
E18_2_C63,AT1 Cell(Lung),0.401119532811492
E18_2_C63,Alveolar bipotent progenitor(Lung),0.295290657872571
E18_2_C63,AT2 Cell(Lung),0.275380950689882
E18_2_C63,Epithelial Cells(Lung-Mesenchyme),0.24772059644762
E18_2_C63,Ciliated cell(Lung),0.235988678867652
E18_2_C63,Clara Cell(Lung),0.23103408584144
E18_2_C63,Dividing cells(Lung),0.229804690417641
E18_2_C63,Stromal cell_Inmt high(Lung),0.212815056852266
E18_2_C63,Stromal cell_Aspn high(Lung-Mesenchyme),0.200455602070571
E18_2_C63,Epithelial cell_Sftpc high(Fetal_Lung),0.196004980255371
E18_2_C63,Stromal cell_Inmt high(Lung-Mesenchyme),0.190017920870236
E18_2_C63,Ependymocytes(Arc-Me),0.121449243244892
E18_2_C69,AT1 Cell(Lung),0.391016791769169
E18_2_C69,Alveolar bipotent progenitor(Lung),0.28687954546436
E18_2_C69,AT2 Cell(Lung),0.257885821488755
E18_2_C69,Epithelial Cells(Lung-Mesenchyme),0.24364213862781
E18_2_C69,Ciliated cell(Lung),0.223004291626611
E18_2_C69,Clara Cell(Lung),0.222416200253006
E18_2_C69,Stromal cell_Inmt high(Lung),0.211510450526721
E18_2_C69,Dividing cells(Lung),0.201527542463417
E18_2_C69,Stromal cell_Inmt high(Lung-Mesenchyme),0.200330734036677
E18_2_C69,Epithelial cell_Sftpc high(Fetal_Lung),0.186806155713121
E18_2_C69,Stromal cell_Aspn high(Lung-Mesenchyme),0.186383884874779
E18_2_C69,Ependymocytes(Arc-Me),0.119414709325891
E18_2_C74,Stromal cell_Inmt high(Lung-Mesenchyme),0.45754217551175
E18_2_C74,Stromal cell_Inmt high(Lung),0.442923827551284
E18_2_C74,Stromal cell_Aspn high(Lung-Mesenchyme),0.41850727684235
E18_2_C74,Epithelial Cells(Lung-Mesenchyme),0.417728427165211
E18_2_C74,AT1 Cell(Lung),0.388288566138348
E18_2_C74,Epithelial cell_Sftpc high(Fetal_Lung),0.355112126341574
E18_2_C74,Alveolar bipotent progenitor(Lung),0.305351853360772
E18_2_C74,AT2 Cell(Lung),0.302505084790138
E18_2_C74,Ciliated cell(Lung),0.256982028007158
E18_2_C74,Clara Cell(Lung),0.241729178102516
E18_2_C74,Dividing cells(Lung),0.234371221619618
E18_2_C74,Ependymocytes(Arc-Me),0.223082003130555
E18_2_C42,AT1 Cell(Lung),0.461894975132837
E18_2_C42,Alveolar bipotent progenitor(Lung),0.346651674023365
E18_2_C42,AT2 Cell(Lung),0.343908099671764
E18_2_C42,Epithelial Cells(Lung-Mesenchyme),0.317562861717091
E18_2_C42,Epithelial cell_Sftpc high(Fetal_Lung),0.287547808044065
E18_2_C42,Clara Cell(Lung),0.279796537052729
E18_2_C42,Ciliated cell(Lung),0.273036454076286
E18_2_C42,Dividing cells(Lung),0.267616292355518
E18_2_C42,Stromal cell_Aspn high(Lung-Mesenchyme),0.243829542410368
E18_2_C42,Stromal cell_Inmt high(Lung),0.243828498153355
E18_2_C42,Stromal cell_Inmt high(Lung-Mesenchyme),0.237312499088362
E18_2_C42,Ependymocytes(Arc-Me),0.179479630595658
E18_2_C55,AT1 Cell(Lung),0.448268572941731
E18_2_C55,Alveolar bipotent progenitor(Lung),0.319601388408969
E18_2_C55,AT2 Cell(Lung),0.298463875203363
E18_2_C55,Epithelial Cells(Lung-Mesenchyme),0.282652678078914
E18_2_C55,Epithelial cell_Sftpc high(Fetal_Lung),0.268804369393447
E18_2_C55,Ciliated cell(Lung),0.267742224665084
E18_2_C55,Dividing cells(Lung),0.259118057838883
E18_2_C55,Clara Cell(Lung),0.258667509468121
E18_2_C55,Stromal cell_Inmt high(Lung),0.242818510465171
E18_2_C55,Stromal cell_Aspn high(Lung-Mesenchyme),0.240247321908029
E18_2_C55,Stromal cell_Inmt high(Lung-Mesenchyme),0.235715287936623
E18_2_C55,Ependymocytes(Arc-Me),0.161396232882873
E18_2_C44,AT1 Cell(Lung),0.471059141665152
E18_2_C44,Alveolar bipotent progenitor(Lung),0.328148107796743
E18_2_C44,AT2 Cell(Lung),0.317375189368743
E18_2_C44,Epithelial Cells(Lung-Mesenchyme),0.287086720402524
E18_2_C44,Epithelial cell_Sftpc high(Fetal_Lung),0.279751917988752
E18_2_C44,Clara Cell(Lung),0.272302924039938
E18_2_C44,Ciliated cell(Lung),0.268668477178972
E18_2_C44,Stromal cell_Inmt high(Lung),0.248225658955825
E18_2_C44,Dividing cells(Lung),0.247101100849664
E18_2_C44,Stromal cell_Aspn high(Lung-Mesenchyme),0.229500633941517
E18_2_C44,Stromal cell_Inmt high(Lung-Mesenchyme),0.228950351287074
E18_2_C44,Ependymocytes(Arc-Me),0.192017585313462
E18_1_C34,AT1 Cell(Lung),0.447586244735124
E18_1_C34,Alveolar bipotent progenitor(Lung),0.315016384769494
E18_1_C34,AT2 Cell(Lung),0.301464140304237
E18_1_C34,Epithelial Cells(Lung-Mesenchyme),0.298026193634764
E18_1_C34,Clara Cell(Lung),0.28845925829186
E18_1_C34,Ciliated cell(Lung),0.278811942619214
E18_1_C34,Epithelial cell_Sftpc high(Fetal_Lung),0.271659039483043
E18_1_C34,Stromal cell_Inmt high(Lung),0.243327912503599
E18_1_C34,Dividing cells(Lung),0.239882236025107
E18_1_C34,Stromal cell_Aspn high(Lung-Mesenchyme),0.230767614858792
E18_1_C34,Stromal cell_Inmt high(Lung-Mesenchyme),0.230575933197625
E18_1_C34,Ependymocytes(Arc-Me),0.182570566702335
E18_3_C90,AT1 Cell(Lung),0.453396899895091
E18_3_C90,Alveolar bipotent progenitor(Lung),0.356746105279486
E18_3_C90,AT2 Cell(Lung),0.343105896441868
E18_3_C90,Ciliated cell(Lung),0.299396184561265
E18_3_C90,Clara Cell(Lung),0.293121672606605
E18_3_C90,Dividing cells(Lung),0.267062729962875
E18_3_C90,Stromal cell_Inmt high(Lung),0.257672765463576
E18_3_C90,Epithelial cell_Sftpc high(Fetal_Lung),0.257441576491496
E18_3_C90,Epithelial Cells(Lung-Mesenchyme),0.250935438140643
E18_3_C90,Stromal cell_Inmt high(Lung-Mesenchyme),0.21069034694706
E18_3_C90,Stromal cell_Aspn high(Lung-Mesenchyme),0.207883851128492
E18_3_C90,Ependymocytes(Arc-Me),0.176288784643324
E18_3_C61,AT1 Cell(Lung),0.429596416815625
E18_3_C61,Alveolar bipotent progenitor(Lung),0.347159088082232
E18_3_C61,AT2 Cell(Lung),0.344617253934219
E18_3_C61,Ciliated cell(Lung),0.308274092036348
E18_3_C61,Clara Cell(Lung),0.305650996563282
E18_3_C61,Epithelial cell_Sftpc high(Fetal_Lung),0.288802506552735
E18_3_C61,Epithelial Cells(Lung-Mesenchyme),0.261703195101858
E18_3_C61,Dividing cells(Lung),0.254682207297881
E18_3_C61,Stromal cell_Inmt high(Lung),0.246241825039331
E18_3_C61,Stromal cell_Aspn high(Lung-Mesenchyme),0.210313666381335
E18_3_C61,Stromal cell_Inmt high(Lung-Mesenchyme),0.207791275336702
E18_3_C61,Ependymocytes(Arc-Me),0.171305540659883
E18_2_C22,AT1 Cell(Lung),0.448638628809046
E18_2_C22,Alveolar bipotent progenitor(Lung),0.361985745560804
E18_2_C22,AT2 Cell(Lung),0.342139142858764
E18_2_C22,Clara Cell(Lung),0.284593201616758
E18_2_C22,Ciliated cell(Lung),0.275894260609821
E18_2_C22,Epithelial cell_Sftpc high(Fetal_Lung),0.274222544300482
E18_2_C22,Dividing cells(Lung),0.272876063985382
E18_2_C22,Epithelial Cells(Lung-Mesenchyme),0.271890797302519
E18_2_C22,Stromal cell_Inmt high(Lung),0.23617486005459
E18_2_C22,Stromal cell_Aspn high(Lung-Mesenchyme),0.205468146835166
E18_2_C22,Stromal cell_Inmt high(Lung-Mesenchyme),0.204500272826313
E18_2_C22,Ependymocytes(Arc-Me),0.161412826244139
E18_2_C50,AT1 Cell(Lung),0.443513934688065
E18_2_C50,Alveolar bipotent progenitor(Lung),0.345277461449378
E18_2_C50,AT2 Cell(Lung),0.332261975911202
E18_2_C50,Epithelial Cells(Lung-Mesenchyme),0.289908073257371
E18_2_C50,Clara Cell(Lung),0.286095748566365
E18_2_C50,Epithelial cell_Sftpc high(Fetal_Lung),0.284695121508628
E18_2_C50,Ciliated cell(Lung),0.26713155012354
E18_2_C50,Dividing cells(Lung),0.260257180458232
E18_2_C50,Stromal cell_Inmt high(Lung),0.241897962808
E18_2_C50,Stromal cell_Inmt high(Lung-Mesenchyme),0.219486952818808
E18_2_C50,Stromal cell_Aspn high(Lung-Mesenchyme),0.205248249809665
E18_2_C50,Ependymocytes(Arc-Me),0.170039720722662
E18_3_C28,AT1 Cell(Lung),0.429059629422057
E18_3_C28,Alveolar bipotent progenitor(Lung),0.357063580206507
E18_3_C28,AT2 Cell(Lung),0.355729191056615
E18_3_C28,Epithelial cell_Sftpc high(Fetal_Lung),0.318106506801586
E18_3_C28,Clara Cell(Lung),0.290339758184572
E18_3_C28,Epithelial Cells(Lung-Mesenchyme),0.284470704111204
E18_3_C28,Ciliated cell(Lung),0.280204305126135
E18_3_C28,Dividing cells(Lung),0.273771347885099
E18_3_C28,Stromal cell_Inmt high(Lung),0.238613144312344
E18_3_C28,Stromal cell_Inmt high(Lung-Mesenchyme),0.220896383136424
E18_3_C28,Stromal cell_Aspn high(Lung-Mesenchyme),0.218873309176906
E18_3_C28,Ependymocytes(Arc-Me),0.18126036235103
E18_2_C31,AT1 Cell(Lung),0.450623996645334
E18_2_C31,Alveolar bipotent progenitor(Lung),0.3569574590002
E18_2_C31,AT2 Cell(Lung),0.353989905088885
E18_2_C31,Clara Cell(Lung),0.293067461492323
E18_2_C31,Epithelial cell_Sftpc high(Fetal_Lung),0.290996352971358
E18_2_C31,Dividing cells(Lung),0.290143382633019
E18_2_C31,Ciliated cell(Lung),0.287118759074553
E18_2_C31,Epithelial Cells(Lung-Mesenchyme),0.273391962379371
E18_2_C31,Stromal cell_Inmt high(Lung),0.246092255272752
E18_2_C31,Stromal cell_Inmt high(Lung-Mesenchyme),0.213170571278905
E18_2_C31,Stromal cell_Aspn high(Lung-Mesenchyme),0.211136228169955
E18_2_C31,Ependymocytes(Arc-Me),0.195685088276785
E18_3_C54,AT1 Cell(Lung),0.44905293473404
E18_3_C54,Alveolar bipotent progenitor(Lung),0.366317194159191
E18_3_C54,AT2 Cell(Lung),0.358374948420365
E18_3_C54,Ciliated cell(Lung),0.281527763949027
E18_3_C54,Clara Cell(Lung),0.281084640392187
E18_3_C54,Epithelial cell_Sftpc high(Fetal_Lung),0.279424495438054
E18_3_C54,Epithelial Cells(Lung-Mesenchyme),0.274933002694857
E18_3_C54,Dividing cells(Lung),0.273517722118015
E18_3_C54,Stromal cell_Inmt high(Lung),0.255731744884178
E18_3_C54,Stromal cell_Aspn high(Lung-Mesenchyme),0.221457811207906
E18_3_C54,Stromal cell_Inmt high(Lung-Mesenchyme),0.220634279606734
E18_3_C54,Ependymocytes(Arc-Me),0.181301672324262
E18_2_C12,AT1 Cell(Lung),0.441745210748124
E18_2_C12,Epithelial cell_Sftpc high(Fetal_Lung),0.383957311201994
E18_2_C12,Alveolar bipotent progenitor(Lung),0.350479417151517
E18_2_C12,AT2 Cell(Lung),0.329967601054752
E18_2_C12,Ciliated cell(Lung),0.30634934193563
E18_2_C12,Clara Cell(Lung),0.304995489422107
E18_2_C12,Dividing cells(Lung),0.293610916240013
E18_2_C12,Epithelial Cells(Lung-Mesenchyme),0.290127603315646
E18_2_C12,Stromal cell_Inmt high(Lung),0.241966445431546
E18_2_C12,Stromal cell_Inmt high(Lung-Mesenchyme),0.22036931112305
E18_2_C12,Stromal cell_Aspn high(Lung-Mesenchyme),0.219634157553554
E18_2_C12,Ependymocytes(Arc-Me),0.206694593366674
E18_3_C47,AT1 Cell(Lung),0.481192132747837
E18_3_C47,AT2 Cell(Lung),0.344243883665291
